ISIN	Underpricing	Leverage
ES0135961219(RI)~EUR	0	97,409
PLGTC0000037(RI)~EUR	NULL	71,584
GB00B0BHCR03(RI)~EUR	0	286,742
ES0173365018(RI)~EUR	NULL	0
ES0173964018(RI)~EUR	0	62,248
IM00B1HYQS19(RI)~EUR	0	0
JE00B1S0VN88(RI)~EUR	-1,2345679	236,832
GB00B1VVM685(RI)~EUR	-0,2991027	0
BE0003870871(RI)~EUR	0	13,92
JE00B1Z91C77(RI)~EUR	0	0
DK0060093524(RI)~EUR	0	0
GB00B23FXY03(RI)~EUR	0	185,226
RU000A0JPFP0(RI)~EUR	0	31,437
DE000A0KFRM5(RI)~EUR	0	99,347
BE0003878957(RI)~EUR	27,3469388	90,211
NL0006146185(RI)~EUR	4	1,707
FR0010588079(RI)~EUR	0	23,95
FR0004031292(RI)~EUR	0	0
JE00B3CX6J86(RI)~EUR	-21,5686275	0
JE00B4MFKH73(RI)~EUR	0	0
GB00B3PQND71(RI)~EUR	0	0
GG00B61JP354(RI)~EUR	0	0
TRETRGY00018(RI)~EUR	0	23,306
DE000A1E8H38(RI)~EUR	0	208,132
TREEGYO00017(RI)~EUR	0	29,706
TREAKFG00012(RI)~EUR	3,1674208	26,643
CH0045825517(RI)~EUR	0	71,262
LU0686550053(RI)~EUR	0	0
NO0010612450(RI)~EUR	0	140,725
PLPHN0000014(RI)~EUR	0	0,076
GB00B8460Z43(RI)~EUR	0	0
DE000A1ML7J1(RI)~EUR	NULL	63,576
IE00BBR67J55(RI)~EUR	0	0
GB00BCKFY513(RI)~EUR	0	0
SE0004977692(RI)~EUR	0	0
GB00BG49KP99(RI)~EUR	NULL	0
IE00BGHQ1986(RI)~EUR	-9,4202899	0
ES0105015012(RI)~EUR	NULL	0
ES0105019006(RI)~EUR	-3,1476998	0
GB00BJFLFT45(RI)~EUR	-4,3062201	0
SE0005594728(RI)~EUR	-13,3333333	95,287
IE00BJ34P519(RI)~EUR	NULL	0
GB00BLMQ9L68(RI)~EUR	22,9885057	0
GB00BMHTHT14(RI)~EUR	-4,3478261	0
ES0105025003(RI)~EUR	3,626943	0
GB00BLWDVR75(RI)~EUR	NULL	0
NO0010716418(RI)~EUR	-2,9850746	109,714
DE000A12B8Z4(RI)~EUR	-0,462963	98,084
GB00BNGMZB68(RI)~EUR	-1,9607843	28,898
SE0006342333(RI)~EUR	-11,2426036	122,478
GB00BTDY6Q96(RI)~EUR	0	0
GB00BWD24154(RI)~EUR	0	0
GB00BW4NWS02(RI)~EUR	-13,0434783	0
SE0007074505(RI)~EUR	0,795756	152,334
SE0007158456(RI)~EUR	-86,0727273	191,812
LU1250154413(RI)~EUR	2,7274128	97,324
GB00BYNVD082(RI)~EUR	-13,9990444	7,531
GB00BYV2MV74(RI)~EUR	0	0
BE0974288202(RI)~EUR	-2,9126214	0
GB00BY7R8K77(RI)~EUR	-1,4778325	0
CH0325094297(RI)~EUR	-7,504363	59,707
PLBIKPT00014(RI)~EUR	0	117,148
GB00BD8HBD32(RI)~EUR	-3,0067895	0
CH0305285295(RI)~EUR	-5,4054054	0
ES0105196002(RI)~EUR	0	20,032
GB00BYQ46T41(RI)~EUR	0	0
NL0012235980(RI)~EUR	0	136,297
SE0009663511(RI)~EUR	0,8547009	65,593
GB00BDR05757(RI)~EUR	-1,2833169	0
GB00BF01NH51(RI)~EUR	0	0
GB00BYSX1508(RI)~EUR	-0,0999001	0
GB00BF345X11(RI)~EUR	NULL	0
GB00BF0P7H59(RI)~EUR	-2,2482893	0
NO0010781206(RI)~EUR	2,9411765	17,565
EE3100127242(RI)~EUR	0	0
ES0105122024(RI)~EUR	3,125	0
DE000A2G8XX3(RI)~EUR	0	0
GB00BFFK7H57(RI)~EUR	-1,4778325	0
IE00BDT5KP12(RI)~EUR	-6,5420561	0
FI4000312251(RI)~EUR	-0,5964215	108,099
GB00BGJWTR88(RI)~EUR	-1,9607843	0
ES0105376000(RI)~EUR	NULL	0
SE0012481364(RI)~EUR	-11,7647059	75,01
IT0005377277(RI)~EUR	4,0041602	6,506
SE0014829644(RI)~EUR	0	169,929
SE0014956819(RI)~EUR	0	45,408
SE0014608915(RI)~EUR	-5,2948773	27,256
BE0974374069(RI)~EUR	-3,8202247	6,751
GB00BLF79495(RI)~EUR	-9,0909091	81,708
NL00150006R6(RI)~EUR	0	105,244
TREZRGY00023(RI)~EUR	0	0,037
TREKZBG00026(RI)~EUR	0	0,077
SE0016276851(RI)~EUR	-4,1193182	0
SE0016797591(RI)~EUR	-21,6524217	73,339
TREPSFK00023(RI)~EUR	0	0
MT0000940107(RI)~EUR	0	0
IT0005468290(RI)~EUR	3,9584166	0
MT0002570100(RI)~EUR	1,6949153	0
SE0017565476(RI)~EUR	3,9584166	0
CH0516131684(RI)~EUR	-34,1463415	99,606
IT0005540676(RI)~EUR	3,0927835	0
IT0005562183(RI)~EUR	4,7619048	0
NO0013178616(RI)~EUR	1,4695591	91,316
SE0022062055(RI)~EUR	-35,5828221	101,922
SE0022243812(RI)~EUR	0	0
SE0017072259(RI)~EUR	0	0
FI4000176557(RI)~EUR	NULL	0
DE000LEG1110(RI)~EUR	NULL	108,516
JE00B5Q9HB52(RI)~EUR	130	0